date,pool_id,label,project,chain,symbol,apy_pct,apy_base_pct,apy_reward_pct,tvl_usd_snapshot
2025-04-18,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,2.588300,2.588300,,771880830.00
2025-04-19,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,2.525910,2.525910,,771880830.00
2025-04-20,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,2.473810,2.473810,,771880830.00
2025-04-21,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,2.592130,2.592130,,771880830.00
2025-04-22,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,2.393710,2.393710,,771880830.00
2025-04-23,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,2.324320,2.324320,,771880830.00
2025-04-24,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,2.313100,2.313100,,771880830.00
2025-04-25,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,2.285690,2.285690,,771880830.00
2025-04-26,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,2.700790,2.700790,,771880830.00
2025-04-27,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,2.852240,2.852240,,771880830.00
2025-04-28,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,2.857070,2.857070,,771880830.00
2025-04-29,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,2.791530,2.791530,,771880830.00
2025-04-30,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,2.806620,2.806620,,771880830.00
2025-05-01,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,2.960500,2.960500,,771880830.00
2025-05-02,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,2.861290,2.861290,,771880830.00
2025-05-03,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,2.950360,2.950360,,771880830.00
2025-05-04,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,3.141030,3.141030,,771880830.00
2025-05-05,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,2.975190,2.975190,,771880830.00
2025-05-06,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,3.261470,3.261470,,771880830.00
2025-05-07,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,3.048630,3.048630,,771880830.00
2025-05-08,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,3.127040,3.127040,,771880830.00
2025-05-09,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,3.248340,3.248340,,771880830.00
2025-05-10,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,3.290080,3.290080,,771880830.00
2025-05-11,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,3.342520,3.342520,,771880830.00
2025-05-12,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,3.598980,3.598980,,771880830.00
2025-05-13,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,3.716170,3.716170,,771880830.00
2025-05-14,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,3.662140,3.662140,,771880830.00
2025-05-15,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,3.694980,3.694980,,771880830.00
2025-05-16,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,3.806710,3.806710,,771880830.00
2025-05-17,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,3.854190,3.854190,,771880830.00
2025-05-18,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,3.878940,3.878940,,771880830.00
2025-05-19,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,3.982150,3.982150,,771880830.00
2025-05-20,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,3.922270,3.922270,,771880830.00
2025-05-21,aa70268e-4b52-42bf-a116-608b370f9501,Aave V3 / USDC supply,aave-v3,Ethereum,USDC,3.806650,3.806650,,771880830.00
